LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
42, 1.0, 4838.0, 86240, 1.0, 4822.0, 102720, 159.0, 4852.0, 17137, -786.0, -1.0, 7840, -3275.0, 2743.0, 53390, 4883.0, 5374.0, 15729,
43, 1.0, 95684.0, 2376000, 1.0, 95660.0, 2773440, 8646.0, 95690.0, 8729, -3275.0, 93315.0, 1308229, -3275.0, 86543.0, 2773440, 95721.0, 95971.0, 8025,
44, 1.0, 4042.0, 94080, 1.0, 4047.0, 103680, 959.0, 4077.0, 2902, -3275.0, 2637.0, 94080, -3275.0, 2147.0, 53870, 4087.0, 4169.0, 2646,
45, 1.0, 4838.0, 86240, 1.0, 4822.0, 102720, 159.0, 4852.0, 17137, -786.0, -1.0, 7840, -3275.0, 2743.0, 53390, 4883.0, 5374.0, 15729,
46, 1.0, 95684.0, 2376000, 1.0, 95660.0, 2773440, 8646.0, 95690.0, 8729, -3275.0, 93315.0, 1308229, -3275.0, 86543.0, 2773440, 95721.0, 95971.0, 8025,
47, 1.0, 4042.0, 94080, 1.0, 4047.0, 103680, 959.0, 4077.0, 2902, -3275.0, 2637.0, 94080, -3275.0, 2147.0, 53870, 4087.0, 4169.0, 2646,
48, 1.0, 4838.0, 86240, 1.0, 4822.0, 102720, 159.0, 4852.0, 17137, -786.0, -1.0, 7840, -3275.0, 2743.0, 53390, 4883.0, 5374.0, 15729,
49, 1.0, 95684.0, 2376000, 1.0, 95660.0, 2773440, 8646.0, 95690.0, 8729, -3275.0, 93315.0, 1308229, -3275.0, 86543.0, 2773440, 95721.0, 95971.0, 8025,
50, 1.0, 8130.0, 188160, 1.0, 8124.0, 205440, 959.0, 8154.0, 5755, -3275.0, 6855.0, 188160, -3275.0, 6322.0, 108810, 8175.0, 8338.0, 5243,
51, 1.0, 10650.0, 219520, 1.0, 10644.0, 273280, 319.0, 10674.0, 22715, -1572.0, -1.0, 15680, -3275.0, 9247.0, 144760, 10695.0, 11348.0, 20923,
52, 1.0, 14700.0, 14080, 1.0, 14713.0, 427520, 1310.0, 14743.0, 1038, -131.0, -1.0, 1280, -3275.0, 14581.0, 427520, 14761.0, 14771.0, 334,
