LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 9.702423659112783, 3.3371029836381134, 4.671945635372007, 1.3119279188244706, 4.5, 4.1898575701136815,
1, 26.27083506095033, 9.051496807363794, 1.1862584716055153, 3.730262423642681, 9.658536585365853, 1.3330429558425954,
2, 10.893912665888674, 2.0426086248541266, 2.7234781664721686, 10.208489102515195, 2.909090909090909, 3.5654418032010606,
3, 6.564209906624585, 3.3846707331033015, 7.589867704534677, 6.358636421239386, 8.0, 6.982458803487999,
4, 29.788561732537218, 15.395270313588552, 0.6379933523956878, 8.823922486750662, 9.893129770992367, 0.5945929446519079,
5, 19.444293741522962, 5.468707614803333, 2.2279919912161725, 16.365296803652967, 6.595419847328245, 32.0,
6, 8.930762385048947, 6.8376149510531, 9.861050133491545, 8.397188441370076, 8.977099236641221, 10.393927098126733,
7, 30.248696327304888, 23.38153687302648, 0.6189593830416494, 6.0850616450265465, 29.832421176488804, 0.6954805806580336,
8, 22.370040124832812, 6.291573785109229, 1.7088225095358398, 20.24949553831667, 9.893129770992367, 32.0,
9, 8.930762385048947, 6.8376149510531, 9.861050133491545, 8.397188441370076, 8.977099236641221, 10.393927098126733,
10, 30.248696327304888, 23.38153687302648, 0.6189593830416494, 6.0850616450265465, 29.832421176488804, 0.6954805806580336,
11, 21.92581083705574, 7.690813750242765, 1.985628277335405, 14.730688935281837, 8.040609137055837, 31.94074074074074,
12, 10.6772591857001, 7.376932898283444, 7.910341892467017, 9.819178082191781, 7.938931297709924, 11.209276764123983,
13, 29.66322721539881, 20.916378164704287, 0.40768924741194695, 4.887320845687539, 29.804044459677815, 0.7398041590954977,
14, 23.70893054024256, 8.31627027878406, 1.6103323358009136, 17.325966850828728, 8.061068702290076, 31.94074074074074,
15, 10.6772591857001, 7.376932898283444, 7.910341892467017, 9.819178082191781, 7.938931297709924, 11.209276764123983,
16, 29.66322721539881, 20.916378164704287, 0.40768924741194695, 4.887320845687539, 29.804044459677815, 0.7398041590954977,
17, 23.70893054024256, 8.31627027878406, 1.6103323358009136, 17.325966850828728, 8.061068702290076, 31.94074074074074,
18, 10.6772591857001, 7.376932898283444, 7.910341892467017, 9.819178082191781, 7.938931297709924, 11.209276764123983,
19, 29.66322721539881, 20.916378164704287, 0.40768924741194695, 4.887320845687539, 29.804044459677815, 0.7398041590954977,
20, 21.17726505346089, 16.639279684862128, 2.678671918964547, 8.136648648648649, 9.202614379084967, 31.94074074074074,
21, 14.225447947380358, 13.107734180086187, 6.242685416194148, 9.57557251908397, 9.690140845070422, 31.964601769911503,
22, 28.292760577152666, 25.3455980170326, 0.22940567829082764, 6.251127736215018, 30.329901423877327, 31.97246127366609,
23, 24.115347644985583, 18.94777314963153, 1.525152194809356, 13.323420074349443, 9.915492957746478, 31.94074074074074,
24, 14.225447947380358, 13.107734180086187, 6.242685416194148, 9.57557251908397, 9.690140845070422, 31.964601769911503,
25, 28.292760577152666, 25.3455980170326, 0.22940567829082764, 6.251127736215018, 30.329901423877327, 31.97246127366609,
26, 24.115347644985583, 18.94777314963153, 1.525152194809356, 13.323420074349443, 9.915492957746478, 31.94074074074074,
27, 14.225447947380358, 13.107734180086187, 6.242685416194148, 9.57557251908397, 9.690140845070422, 31.964601769911503,
28, 28.292760577152666, 25.3455980170326, 0.22940567829082764, 6.251127736215018, 30.329901423877327, 31.97246127366609,
29, 24.115347644985583, 18.94777314963153, 1.525152194809356, 13.323420074349443, 9.915492957746478, 31.94074074074074,
30, 14.225447947380358, 13.107734180086187, 6.242685416194148, 9.57557251908397, 9.690140845070422, 31.964601769911503,
31, 28.292760577152666, 25.3455980170326, 0.22940567829082764, 6.251127736215018, 30.329901423877327, 31.97246127366609,
32, 24.111484863046613, 14.20855358000961, 1.1795611084414543, 17.911470728224653, 9.673282442748091, 31.862068965517242,
33, 17.014855961762045, 16.754424492959565, 5.291822761917065, 9.903157894736841, 9.75157894736842, 18.10569105691057,
34, 28.459781383265526, 27.24572324886035, 0.16356496685892305, 8.01898539377413, 30.75735729804464, 31.981588032220944,
35, 25.281827342962714, 14.898219684245886, 0.8245437241070429, 21.263019116677654, 9.673282442748091, 31.862068965517242,
36, 17.014855961762045, 16.754424492959565, 5.291822761917065, 9.903157894736841, 9.75157894736842, 18.10569105691057,
37, 28.459781383265526, 27.24572324886035, 0.16356496685892305, 8.01898539377413, 30.75735729804464, 31.981588032220944,
38, 25.281827342962714, 14.898219684245886, 0.8245437241070429, 21.263019116677654, 9.673282442748091, 31.862068965517242,
39, 17.014855961762045, 16.754424492959565, 5.291822761917065, 9.903157894736841, 9.75157894736842, 18.10569105691057,
40, 28.459781383265526, 27.24572324886035, 0.16356496685892305, 8.01898539377413, 30.75735729804464, 31.981588032220944,
41, 22.12779302234418, 24.385731085848686, 1.137593100744806, 9.79319916724497, 9.893129770992367, 31.879518072289155,
42, 17.66127380708581, 21.03624820806881, 3.509522834323162, 9.974554707379134, 8.870244226615718, 31.96951219512195,
43, 24.822139342464038, 28.974206287021655, 0.09119211040419553, 13.544005135053991, 30.878099288569235, 31.97211155378486,
44, 23.019329581600196, 25.368240763396134, 0.7100562759970639, 15.910705225773718, 9.933616079660704, 31.879518072289155,
45, 17.66127380708581, 21.03624820806881, 3.509522834323162, 9.974554707379134, 8.870244226615718, 31.96951219512195,
46, 24.822139342464038, 28.974206287021655, 0.09119211040419553, 13.544005135053991, 30.878099288569235, 31.97211155378486,
