LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 621147, 0, 36.24515098177243, 51.53213850100941, 36.24509262989605,
1, 24695, 0, 26.19153674832962, 51.5625, 26.190476190476303,
2, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
3, 61739, 0, 40.95304426699493, 80.625, 40.95238095238074,
4, 61739, 0, 40.95304426699493, 80.625, 40.95238095238074,
5, 62327, 0, 41.510099956680094, 51.5625, 41.509433962264104,
6, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
7, 61739, 0, 40.95304426699493, 80.625, 40.95238095238074,
8, 62327, 0, 41.510099956680094, 51.5625, 41.509433962264104,
9, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
10, 61739, 0, 40.95304426699493, 80.625, 40.95238095238074,
11, 93491, 0, 54.50792054850199, 67.70833333333334, 54.507337526205426,
12, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
13, 42749, 0, 58.91599803504175, 87.45138888888889, 58.91461988304112,
14, 280475, 0, 71.83813174079687, 89.23611111111111, 71.83787561146072,
15, 43049, 0, 59.18836674487212, 66.35416666666667, 59.186991869918636,
16, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
17, 42749, 0, 58.91599803504175, 87.45138888888889, 58.91461988304112,
18, 43049, 0, 59.18836674487212, 66.35416666666667, 59.186991869918636,
19, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
20, 42749, 0, 58.91599803504175, 87.45138888888889, 58.91461988304112,
21, 43049, 0, 59.18836674487212, 66.35416666666667, 59.186991869918636,
22, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
23, 42749, 0, 58.91599803504175, 87.45138888888889, 58.91461988304112,
24, 71749, 0, 70.47903106663507, 79.0125, 70.47804878048804,
25, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
26, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
27, 243949, 0, 82.43362342128887, 92.4154411764706, 82.43328550932534,
28, 38009, 0, 66.5210871109474, 70.546875, 66.51933701657462,
29, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
30, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
31, 38009, 0, 66.5210871109474, 70.546875, 66.51933701657462,
32, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
33, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
34, 38009, 0, 66.5210871109474, 70.546875, 66.51933701657462,
35, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
36, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
37, 38009, 0, 66.5210871109474, 70.546875, 66.51933701657462,
38, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
39, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
40, 38009, 0, 66.5210871109474, 70.546875, 66.51933701657462,
41, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
42, 37841, 0, 66.42794852144499, 82.51378676470588, 66.42619311875693,
43, 68417, 0, 73.62497624859319, 78.08159722222221, 73.62390014323715,
44, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
45, 37883, 0, 66.28962859330042, 74.31492660984848, 66.28787878787882,
46, 250865, 0, 80.08291312060271, 84.9313446969697, 80.08259389474847,
47, 37979, 0, 66.3155954606493, 68.32139756944444, 66.31384939441811,
48, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
49, 37883, 0, 66.28962859330042, 74.31492660984848, 66.28787878787882,
50, 37979, 0, 66.3155954606493, 68.32139756944444, 66.31384939441811,
51, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
52, 37883, 0, 66.28962859330042, 74.31492660984848, 66.28787878787882,
53, 33759, 0, 2.968097396249889, 3.057861328125, 2.968009478672985,
