LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 621089.0, 13972056, 1.0, 621086.0, 7208586, 146.0, 621116.0, 1758500, -3275.0, 600416.0, 341222, -524.0, -1.0, 4851, 6834.0, 622029.0, 1568323,
1, 1.0, 24665.0, 401408, 1.0, 24634.0, 206976, 63.0, 24664.0, 116032, -3275.0, 24141.0, 401408, -262.0, -1.0, 2112, 4095.0, 24857.0, 103519,
2, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
3, 1.0, 61709.0, 1003520, 1.0, 61678.0, 809088, 63.0, 61708.0, 435904, -3275.0, 60417.0, 1003520, -852.0, -1.0, 8256, 4095.0, 62093.0, 404575,
4, 1.0, 61709.0, 1003520, 1.0, 61678.0, 809088, 63.0, 61708.0, 435904, -3275.0, 60417.0, 1003520, -852.0, -1.0, 8256, 4095.0, 62093.0, 404575,
5, 1.0, 62297.0, 1605632, 1.0, 62266.0, 827904, 255.0, 62296.0, 116032, -3275.0, 62254.0, 1605632, -852.0, -1.0, 8448, 10431.0, 62489.0, 103519,
6, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
7, 1.0, 61709.0, 1003520, 1.0, 61678.0, 809088, 63.0, 61708.0, 435904, -3275.0, 60417.0, 1003520, -852.0, -1.0, 8256, 4095.0, 62093.0, 404575,
8, 1.0, 62297.0, 1605632, 1.0, 62266.0, 827904, 255.0, 62296.0, 116032, -3275.0, 62254.0, 1605632, -852.0, -1.0, 8448, 10431.0, 62489.0, 103519,
9, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
10, 1.0, 61709.0, 1003520, 1.0, 61678.0, 809088, 63.0, 61708.0, 435904, -3275.0, 60417.0, 1003520, -852.0, -1.0, 8256, 4095.0, 62093.0, 404575,
11, 1.0, 93461.0, 2408448, 1.0, 93430.0, 1630720, 255.0, 93460.0, 222656, -3275.0, 92769.0, 2408448, -1703.0, -1.0, 16640, 10431.0, 93717.0, 203871,
12, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
13, 1.0, 42703.0, 903168, 1.0, 42688.0, 822400, 127.0, 42718.0, 215888, -3275.0, 41739.0, 903168, -3275.0, 33404.0, 36974, 6238.0, 42902.0, 201519,
14, 1.0, 280445.0, 7225344, 1.0, 280414.0, 6447616, 255.0, 280444.0, 862400, -3275.0, 279670.0, 7225344, -3275.0, 187266.0, 82140, 10431.0, 281085.0, 805983,
15, 1.0, 43003.0, 1204224, 1.0, 42988.0, 832000, 511.0, 43018.0, 55760, -3275.0, 41836.0, 1204224, -3275.0, 14888.0, 49646, 18910.0, 43618.0, 50991,
16, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
17, 1.0, 42703.0, 903168, 1.0, 42688.0, 822400, 127.0, 42718.0, 215888, -3275.0, 41739.0, 903168, -3275.0, 33404.0, 36974, 6238.0, 42902.0, 201519,
18, 1.0, 43003.0, 1204224, 1.0, 42988.0, 832000, 511.0, 43018.0, 55760, -3275.0, 41836.0, 1204224, -3275.0, 14888.0, 49646, 18910.0, 43618.0, 50991,
19, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
20, 1.0, 42703.0, 903168, 1.0, 42688.0, 822400, 127.0, 42718.0, 215888, -3275.0, 41739.0, 903168, -3275.0, 33404.0, 36974, 6238.0, 42902.0, 201519,
21, 1.0, 43003.0, 1204224, 1.0, 42988.0, 832000, 511.0, 43018.0, 55760, -3275.0, 41836.0, 1204224, -3275.0, 14888.0, 49646, 18910.0, 43618.0, 50991,
22, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
23, 1.0, 42703.0, 903168, 1.0, 42688.0, 822400, 127.0, 42718.0, 215888, -3275.0, 41739.0, 903168, -3275.0, 33404.0, 36974, 6238.0, 42902.0, 201519,
24, 1.0, 71703.0, 2007040, 1.0, 71688.0, 1651200, 511.0, 71718.0, 109136, -3275.0, 71096.0, 2007040, -3275.0, 43588.0, 115146, 18910.0, 71838.0, 101167,
25, 1.0, 59103.0, 1658880, 1.0, 59088.0, 1486080, 2303.0, 59118.0, 20176, -3275.0, 53695.0, 318707, -3275.0, 47249.0, 1476864, 59149.0, 59729.0, 18576,
26, 1.0, 37783.0, 852992, 1.0, 37780.0, 919296, 255.0, 37810.0, 108164, -3275.0, 37463.0, 852992, -3275.0, 33672.0, 172198, 11730.0, 37912.0, 100579,
27, 1.0, 243903.0, 6823936, 1.0, 243888.0, 6566400, 511.0, 243918.0, 429392, -3275.0, 243213.0, 6823936, -3275.0, 215788.0, 508146, 18910.0, 244230.0, 402223,
28, 1.0, 37951.0, 1003520, 1.0, 37948.0, 924672, 1023.0, 37978.0, 27524, -3275.0, 36349.0, 1003520, -3275.0, 30346.0, 918528, 38009.0, 38799.0, 25284,
29, 1.0, 59103.0, 1658880, 1.0, 59088.0, 1486080, 2303.0, 59118.0, 20176, -3275.0, 53695.0, 318707, -3275.0, 47249.0, 1476864, 59149.0, 59729.0, 18576,
30, 1.0, 37783.0, 852992, 1.0, 37780.0, 919296, 255.0, 37810.0, 108164, -3275.0, 37463.0, 852992, -3275.0, 33672.0, 172198, 11730.0, 37912.0, 100579,
31, 1.0, 37951.0, 1003520, 1.0, 37948.0, 924672, 1023.0, 37978.0, 27524, -3275.0, 36349.0, 1003520, -3275.0, 30346.0, 918528, 38009.0, 38799.0, 25284,
