LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 137090.0, 1330668, 1.0, 137095.0, 374463, 26.0, 137125.0, 542180, -3275.0, 115479.0, 155798, -66.0, -1.0, 243, 10111.0, 137698.0, 443587,
1, 1.0, 132591.0, 3484800, 1.0, 132596.0, 982368, 287.0, 132626.0, 133156, -3275.0, 131125.0, 501351, -262.0, -1.0, 2592, 39865.0, 132981.0, 108931,
2, 1.0, 36817.0, 401408, 1.0, 36790.0, 62720, 31.0, 36820.0, 87808, -3275.0, 36045.0, 401408, -66.0, -1.0, 160, 19234.0, 37783.0, 62751,
3, 1.0, 30545.0, 200704, 1.0, 30538.0, 156800, 15.0, 30568.0, 338688, -3275.0, 29907.0, 200704, -66.0, -1.0, 400, 3183.0, 31159.0, 313631,
4, 1.0, 350895.0, 10454400, 1.0, 350916.0, 8186400, 863.0, 350946.0, 326756, -3275.0, 347898.0, 3101660, -2162.0, -1.0, 21600, 37951.0, 351191.0, 302531,
5, 1.0, 15453.0, 301056, 1.0, 15428.0, 65856, 95.0, 15458.0, 28224, -3275.0, 15120.0, 301056, -131.0, -1.0, 672, 15483.0, 16168.0, 21952,
6, 1.0, 16825.0, 150528, 1.0, 16798.0, 87024, 23.0, 16828.0, 128576, -3275.0, 14650.0, 150528, -131.0, -1.0, 888, 2775.0, 17409.0, 116063,
7, 1.0, 249813.0, 7558272, 1.0, 249814.0, 4411584, 1295.0, 249844.0, 119668, -3275.0, 244027.0, 1504854, -3275.0, 124377.0, 3821904, 44751.0, 250171.0, 107923,
8, 1.0, 20157.0, 451584, 1.0, 20132.0, 98784, 143.0, 20162.0, 28224, -3275.0, 19025.0, 451584, -131.0, -1.0, 1008, 20187.0, 20872.0, 21952,
9, 1.0, 16825.0, 150528, 1.0, 16798.0, 87024, 23.0, 16828.0, 128576, -3275.0, 14650.0, 150528, -131.0, -1.0, 888, 2775.0, 17409.0, 116063,
