LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 137148, 0, 8.527520794142095, 28.10903025632706, 8.527458617087992,
1, 132649, 0, 23.089601127788374, 28.060067612137203, 23.08942706370141,
2, 36847, 0, 5.319293293890954, 15.625, 5.31914893617017,
3, 30575, 0, 16.026165167620604, 78.125, 16.025641025640923,
4, 350953, 0, 72.72608440446442, 77.94463225593667, 72.72587718048491,
5, 15483, 0, 13.291997674869211, 21.875, 13.291139240506315,
6, 16855, 0, 16.13467813705132, 57.8125, 16.13372093023261,
7, 249871, 0, 54.64852363819731, 57.26265285326087, 54.64830493212525,
8, 20187, 0, 15.29201961658493, 21.875, 15.291262135922294,
9, 16855, 0, 16.13467813705132, 57.8125, 16.13372093023261,
10, 249871, 0, 54.64852363819731, 57.26265285326087, 54.64830493212525,
11, 5149, 0, 19.27073218100602, 27.5625, 19.26699029126213,
12, 4699, 0, 25.547988933815706, 75.03125, 25.542553191489315,
13, 78759, 0, 70.97188892697977, 73.51740056818183, 70.97098781107157,
14, 6349, 0, 20.83792723263506, 27.5625, 20.834645669291334,
15, 4699, 0, 25.547988933815706, 75.03125, 25.542553191489315,
16, 78759, 0, 70.97188892697977, 73.51740056818183, 70.97098781107157,
17, 6349, 0, 20.83792723263506, 27.5625, 20.834645669291334,
18, 4699, 0, 25.547988933815706, 75.03125, 25.542553191489315,
19, 78759, 0, 70.97188892697977, 73.51740056818183, 70.97098781107157,
20, 1777, 0, 35.15756893640968, 46.484375, 35.137795275590555,
21, 3527, 0, 33.69010490501843, 66.30859375, 33.68055555555555,
22, 70359, 0, 67.00208928495289, 68.203125, 67.00113700966457,
23, 3121, 0, 40.035245113745596, 46.484375, 40.02242152466368,
24, 3527, 0, 33.69010490501843, 66.30859375, 33.68055555555555,
25, 70359, 0, 67.00208928495289, 68.203125, 67.00113700966457,
26, 3121, 0, 40.035245113745596, 46.484375, 40.02242152466368,
27, 3527, 0, 33.69010490501843, 66.30859375, 33.68055555555555,
28, 70359, 0, 67.00208928495289, 68.203125, 67.00113700966457,
29, 3121, 0, 40.035245113745596, 46.484375, 40.02242152466368,
30, 3527, 0, 33.69010490501843, 66.30859375, 33.68055555555555,
31, 70359, 0, 67.00208928495289, 68.203125, 67.00113700966457,
32, 3121, 0, 58.87536046139058, 68.359375, 58.85650224215247,
33, 5529, 0, 48.189093868692346, 79.296875, 48.180379746835435,
34, 131149, 0, 80.5991658342801, 81.5625, 80.59855127716354,
35, 4465, 0, 61.73012318029115, 68.359375, 61.71630094043887,
36, 5529, 0, 48.189093868692346, 79.296875, 48.180379746835435,
37, 131149, 0, 80.5991658342801, 81.5625, 80.59855127716354,
38, 4465, 0, 61.73012318029115, 68.359375, 61.71630094043887,
39, 5529, 0, 48.189093868692346, 79.296875, 48.180379746835435,
40, 131149, 0, 80.5991658342801, 81.5625, 80.59855127716354,
41, 2551, 0, 44.29880439043512, 49.0478515625, 44.28144592476489,
42, 3551, 0, 51.96159532526049, 72.076416015625, 51.94696649774774,
43, 69615, 0, 73.02440206851972, 73.54736328125, 73.0233531084808,
44, 4087, 0, 46.08361879128945, 49.0478515625, 46.07234589041096,
45, 3551, 0, 51.96159532526049, 72.076416015625, 51.94696649774774,
46, 69615, 0, 73.02440206851972, 73.54736328125, 73.0233531084808,
47, 4087, 0, 46.08361879128945, 49.0478515625, 46.07234589041096,
48, 3551, 0, 51.96159532526049, 72.076416015625, 51.94696649774774,
49, 69615, 0, 73.02440206851972, 73.54736328125, 73.0233531084808,
50, 6131, 0, 60.69054803457837, 64.599609375, 60.6806506849315,
51, 8403, 0, 58.49473402356301, 69.81977982954545, 58.487773679200394,
52, 10735, 0, 2.92268281322776, 3.06396484375, 2.922410581222057,
