LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 79210, 0, 48.244234077136724, 68.59127638522428, 48.24362501735895,
1, 58695, 0, 61.479683107590084, 68.09612771739131, 61.47863568215887,
2, 58695, 0, 61.479683107590084, 68.09612771739131, 61.47863568215887,
3, 58695, 0, 61.479683107590084, 68.09612771739131, 61.47863568215887,
4, 58695, 0, 61.479683107590084, 68.09612771739131, 61.47863568215887,
5, 31899, 0, 59.44700460829493, 65.84375, 59.44514106583071,
6, 53415, 0, 61.22156697556866, 64.51526988636364, 61.22042084768602,
7, 6803, 0, 33.22339409084228, 65.39894386574075, 33.218511169900026,
8, 53415, 0, 61.22156697556866, 64.51526988636364, 61.22042084768602,
9, 53415, 0, 61.22156697556866, 64.51526988636364, 61.22042084768602,
10, 25493, 0, 74.38512532852155, 78.38541666666666, 74.38220757825371,
11, 35489, 0, 78.51446927216884, 80.625, 78.51225697379546,
12, 4559, 0, 53.05439789427506, 78.7353515625, 53.04276315789473,
13, 35489, 0, 78.51446927216884, 80.625, 78.51225697379546,
14, 35489, 0, 78.51446927216884, 80.625, 78.51225697379546,
15, 28391, 0, 66.40396604557782, 68.1884765625, 66.4016272189349,
16, 28019, 0, 68.65876726507013, 69.580078125, 68.65631691648822,
17, 3815, 0, 71.71690694626474, 89.0625, 71.69811320754718,
18, 28019, 0, 68.65876726507013, 69.580078125, 68.65631691648822,
19, 28019, 0, 68.65876726507013, 69.580078125, 68.65631691648822,
20, 6313, 0, 2.6453350229684776, 2.9651988636363638, 2.644916059550206,
