LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 79130.0, 1778700, 1.0, 79170.0, 1225686, 146.0, 79200.0, 290456, -3275.0, 63443.0, 162680, -328.0, -1.0, 3234, 9787.0, 79337.0, 266231,
1, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
2, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
3, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
4, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
5, 1.0, 31660.0, 903168, 1.0, 31848.0, 619200, 575.0, 31878.0, 36912, -3275.0, 30880.0, 434347, -2489.0, -1.0, 24768, 29954.0, 31929.0, 33743,
6, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
7, 1.0, 6626.0, 107648, 1.0, 6752.0, 74304, 63.0, 6782.0, 39619, -3275.0, 6461.0, 100352, -328.0, -1.0, 2752, 5506.0, 6910.0, 36194,
8, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
9, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
10, 1.0, 25050.0, 677376, 1.0, 25453.0, 693504, 1151.0, 25483.0, 18200, -3275.0, 23584.0, 374713, -3275.0, 17366.0, 549344, 25493.0, 26019.0, 16856,
11, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
12, 1.0, 4324.0, 86400, 1.0, 4519.0, 88064, 127.0, 4549.0, 20886, -2555.0, -1.0, 25088, -1114.0, -1.0, 11008, 4559.0, 5163.0, 19350,
13, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
14, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
15, 1.0, 28338.0, 677376, 1.0, 28340.0, 787968, 2303.0, 28370.0, 9147, -3275.0, 25506.0, 421144, -3275.0, 25117.0, 778594, 28391.0, 28652.0, 8379,
16, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
17, 1.0, 3776.0, 98304, 1.0, 3764.0, 87552, 255.0, 3794.0, 11712, -1310.0, -1.0, 12544, -3275.0, 2190.0, 51950, 3815.0, 4156.0, 10944,
18, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
19, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
20, 1.0, 6252.0, 5632, 1.0, 6265.0, 171008, 542.0, 6295.0, 1038, -66.0, -1.0, 512, -3275.0, 5697.0, 171008, 6313.0, 6323.0, 334,
