LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 310515.0, 6986028, 1.0, 310528.0, 3713514, 146.0, 310558.0, 903012, -3275.0, 304440.0, 170572, -262.0, -1.0, 2499, 12701.0, 311245.0, 807939,
1, 1.0, 12317.0, 200704, 1.0, 12302.0, 106624, 63.0, 12332.0, 59584, -3275.0, 12051.0, 200704, -131.0, -1.0, 1088, 7638.0, 12989.0, 53343,
2, 1.0, 58637.0, 1679616, 1.0, 58650.0, 900864, 575.0, 58680.0, 55460, -3275.0, 53543.0, 251650, -983.0, -1.0, 9792, 38870.0, 59221.0, 49603,
3, 1.0, 37013.0, 602112, 1.0, 36982.0, 407680, 63.0, 37012.0, 222656, -3275.0, 36233.0, 602112, -459.0, -1.0, 4160, 4095.0, 37269.0, 203871,
4, 1.0, 37013.0, 602112, 1.0, 36982.0, 407680, 63.0, 37012.0, 222656, -3275.0, 36233.0, 602112, -459.0, -1.0, 4160, 4095.0, 37269.0, 203871,
5, 1.0, 31133.0, 802816, 1.0, 31118.0, 426496, 255.0, 31148.0, 59584, -3275.0, 30469.0, 802816, -459.0, -1.0, 4352, 19350.0, 31805.0, 53343,
6, 1.0, 58637.0, 1679616, 1.0, 58650.0, 900864, 575.0, 58680.0, 55460, -3275.0, 53543.0, 251650, -983.0, -1.0, 9792, 38870.0, 59221.0, 49603,
7, 1.0, 37013.0, 602112, 1.0, 36982.0, 407680, 63.0, 37012.0, 222656, -3275.0, 36233.0, 602112, -459.0, -1.0, 4160, 4095.0, 37269.0, 203871,
8, 1.0, 31133.0, 802816, 1.0, 31118.0, 426496, 255.0, 31148.0, 59584, -3275.0, 30469.0, 802816, -459.0, -1.0, 4352, 19350.0, 31805.0, 53343,
9, 1.0, 58637.0, 1679616, 1.0, 58650.0, 900864, 575.0, 58680.0, 55460, -3275.0, 53543.0, 251650, -983.0, -1.0, 9792, 38870.0, 59221.0, 49603,
10, 1.0, 37013.0, 602112, 1.0, 36982.0, 407680, 63.0, 37012.0, 222656, -3275.0, 36233.0, 602112, -459.0, -1.0, 4160, 4095.0, 37269.0, 203871,
11, 1.0, 62297.0, 1605632, 1.0, 62266.0, 827904, 255.0, 62296.0, 116032, -3275.0, 62254.0, 1605632, -852.0, -1.0, 8448, 10431.0, 62489.0, 103519,
12, 1.0, 53357.0, 1557504, 1.0, 53354.0, 836352, 1151.0, 53384.0, 25124, -3275.0, 49454.0, 245890, -3275.0, 25880.0, 812160, 53415.0, 54112.0, 22308,
13, 1.0, 23703.0, 501760, 1.0, 23688.0, 412800, 127.0, 23718.0, 109136, -3275.0, 23127.0, 501760, -1703.0, -1.0, 16512, 6238.0, 23838.0, 101167,
14, 1.0, 155789.0, 4014080, 1.0, 155758.0, 3236352, 255.0, 155788.0, 435904, -3275.0, 155069.0, 4014080, -3275.0, 93774.0, 41198, 10431.0, 156173.0, 404575,
