LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 137090.0, 1330668, 1.0, 137103.0, 707319, 26.0, 137133.0, 936452, -3275.0, 115479.0, 155798, -66.0, -1.0, 459, 5381.0, 137731.0, 837859,
1, 1.0, 132591.0, 3484800, 1.0, 132604.0, 1855584, 287.0, 132634.0, 229956, -3275.0, 131125.0, 501351, -524.0, -1.0, 4896, 21302.0, 132934.0, 205731,
2, 1.0, 36817.0, 401408, 1.0, 36794.0, 112896, 31.0, 36824.0, 137984, -3275.0, 36045.0, 401408, -66.0, -1.0, 288, 10681.0, 37303.0, 112927,
3, 1.0, 61121.0, 401408, 1.0, 61106.0, 307328, 15.0, 61136.0, 664832, -3275.0, 59852.0, 401408, -131.0, -1.0, 784, 2511.0, 61927.0, 614687,
4, 1.0, 701849.0, 20908800, 1.0, 701862.0, 16045344, 863.0, 701892.0, 641412, -3275.0, 699778.0, 6203694, -3275.0, 351263.0, 47438, 30495.0, 702004.0, 592931,
5, 1.0, 15453.0, 301056, 1.0, 15434.0, 122304, 95.0, 15464.0, 47040, -3275.0, 15120.0, 301056, -131.0, -1.0, 1248, 12449.0, 15733.0, 40799,
6, 1.0, 25253.0, 225792, 1.0, 25230.0, 171696, 23.0, 25260.0, 247744, -3275.0, 21971.0, 225792, -197.0, -1.0, 1752, 2775.0, 26293.0, 228959,
7, 1.0, 374749.0, 11337408, 1.0, 374754.0, 8703936, 1295.0, 374784.0, 230532, -3275.0, 368963.0, 2258104, -3275.0, 249828.0, 7642512, 44751.0, 375316.0, 212899,
8, 1.0, 20157.0, 451584, 1.0, 20138.0, 183456, 143.0, 20168.0, 47040, -3275.0, 19025.0, 451584, -197.0, -1.0, 1872, 16241.0, 20437.0, 40799,
9, 1.0, 25253.0, 225792, 1.0, 25230.0, 171696, 23.0, 25260.0, 247744, -3275.0, 21971.0, 225792, -197.0, -1.0, 1752, 2775.0, 26293.0, 228959,
10, 1.0, 374749.0, 11337408, 1.0, 374754.0, 8703936, 1295.0, 374784.0, 230532, -3275.0, 368963.0, 2258104, -3275.0, 249828.0, 7642512, 44751.0, 375316.0, 212899,
11, 1.0, 5103.0, 112896, 1.0, 5104.0, 61200, 143.0, 5134.0, 14928, -3275.0, 4388.0, 112896, -262.0, -1.0, 2448, 5149.0, 5565.0, 13328,
12, 1.0, 9353.0, 100352, 1.0, 9338.0, 77600, 31.0, 9368.0, 82448, -2555.0, -1.0, 25088, -328.0, -1.0, 3104, 3070.0, 9728.0, 76079,
13, 1.0, 157461.0, 4672512, 1.0, 157458.0, 3687552, 1727.0, 157488.0, 71204, -3275.0, 153343.0, 738932, -3275.0, 117648.0, 3651264, 59054.0, 157521.0, 65603,
14, 1.0, 6303.0, 150528, 1.0, 6304.0, 81600, 191.0, 6334.0, 14928, -3275.0, 5412.0, 150528, -328.0, -1.0, 3264, 6349.0, 6765.0, 13328,
15, 1.0, 9353.0, 100352, 1.0, 9338.0, 77600, 31.0, 9368.0, 82448, -2555.0, -1.0, 25088, -328.0, -1.0, 3104, 3070.0, 9728.0, 76079,
16, 1.0, 157461.0, 4672512, 1.0, 157458.0, 3687552, 1727.0, 157488.0, 71204, -3275.0, 153343.0, 738932, -3275.0, 117648.0, 3651264, 59054.0, 157521.0, 65603,
17, 1.0, 6303.0, 150528, 1.0, 6304.0, 81600, 191.0, 6334.0, 14928, -3275.0, 5412.0, 150528, -328.0, -1.0, 3264, 6349.0, 6765.0, 13328,
18, 1.0, 9353.0, 100352, 1.0, 9338.0, 77600, 31.0, 9368.0, 82448, -2555.0, -1.0, 25088, -328.0, -1.0, 3104, 3070.0, 9728.0, 76079,
19, 1.0, 157461.0, 4672512, 1.0, 157458.0, 3687552, 1727.0, 157488.0, 71204, -3275.0, 153343.0, 738932, -3275.0, 117648.0, 3651264, 59054.0, 157521.0, 65603,
20, 1.0, 3497.0, 75264, 1.0, 3494.0, 44352, 191.0, 3524.0, 7364, -3275.0, 2913.0, 75264, -655.0, -1.0, 6336, 3555.0, 3757.0, 6468,
21, 1.0, 6115.0, 87808, 1.0, 6112.0, 86464, 63.0, 6142.0, 40964, -1310.0, -1.0, 12544, -1245.0, -1.0, 12352, 4626.0, 6332.0, 37859,
22, 1.0, 123083.0, 3483648, 1.0, 123068.0, 3335040, 3455.0, 123098.0, 30032, -3275.0, 122129.0, 793258, -3275.0, 105181.0, 3321216, 123129.0, 123997.0, 27792,
23, 1.0, 6185.0, 150528, 1.0, 6182.0, 88704, 383.0, 6212.0, 7364, -3275.0, 5128.0, 150528, -1310.0, -1.0, 12672, 6243.0, 6445.0, 6468,
