LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 158341.0, 3557400, 1.0, 158360.0, 1838529, 146.0, 158390.0, 447812, -3275.0, 142863.0, 326046, -524.0, -1.0, 4851, 6834.0, 158612.0, 399331,
1, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
2, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
3, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
4, 1.0, 117333.0, 3359232, 1.0, 117330.0, 1748736, 575.0, 117360.0, 108004, -3275.0, 113515.0, 509426, -1965.0, -1.0, 19008, 20991.0, 118351.0, 96259,
5, 1.0, 47610.0, 1354752, 1.0, 47788.0, 936000, 575.0, 47818.0, 55760, -3275.0, 45356.0, 650864, -3275.0, 16413.0, 51758, 21022.0, 48418.0, 50991,
6, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
7, 1.0, 10028.0, 161472, 1.0, 10144.0, 112320, 63.0, 10174.0, 59849, -3275.0, 8741.0, 150528, -459.0, -1.0, 4160, 4134.0, 10890.0, 54696,
8, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
9, 1.0, 80065.0, 2336256, 1.0, 80062.0, 1647360, 1151.0, 80092.0, 48164, -3275.0, 77376.0, 372538, -3275.0, 52830.0, 1623168, 40046.0, 80473.0, 43971,
10, 1.0, 42046.0, 1128960, 1.0, 42428.0, 1040256, 1151.0, 42458.0, 27524, -3275.0, 39358.0, 620393, -3275.0, 33417.0, 1033344, 42489.0, 43279.0, 25284,
11, 1.0, 59103.0, 1658880, 1.0, 59088.0, 1486080, 2303.0, 59118.0, 20176, -3275.0, 53695.0, 318707, -3275.0, 47249.0, 1476864, 59149.0, 59729.0, 18576,
12, 1.0, 7364.0, 144000, 1.0, 7538.0, 132096, 127.0, 7568.0, 31585, -2555.0, -1.0, 25088, -1703.0, -1.0, 16512, 7599.0, 8506.0, 29025,
13, 1.0, 59103.0, 1658880, 1.0, 59088.0, 1486080, 2303.0, 59118.0, 20176, -3275.0, 53695.0, 318707, -3275.0, 47249.0, 1476864, 59149.0, 59729.0, 18576,
14, 1.0, 59103.0, 1658880, 1.0, 59088.0, 1486080, 2303.0, 59118.0, 20176, -3275.0, 53695.0, 318707, -3275.0, 47249.0, 1476864, 59149.0, 59729.0, 18576,
15, 1.0, 42534.0, 1016064, 1.0, 42526.0, 1184256, 2303.0, 42556.0, 13745, -3275.0, 39702.0, 617644, -3275.0, 37790.0, 1181952, 42587.0, 42980.0, 12593,
16, 1.0, 41992.0, 1036800, 1.0, 41968.0, 1184256, 4614.0, 41998.0, 7001, -2555.0, -1.0, 25088, -3275.0, 37294.0, 1184256, 42029.0, 42229.0, 6425,
17, 1.0, 5684.0, 147456, 1.0, 5662.0, 131584, 255.0, 5692.0, 17600, -1310.0, -1.0, 12544, -3275.0, 4098.0, 82140, 5723.0, 6236.0, 16448,
18, 1.0, 41992.0, 1036800, 1.0, 41968.0, 1184256, 4614.0, 41998.0, 7001, -2555.0, -1.0, 25088, -3275.0, 37294.0, 1184256, 42029.0, 42229.0, 6425,
19, 1.0, 41992.0, 1036800, 1.0, 41968.0, 1184256, 4614.0, 41998.0, 7001, -2555.0, -1.0, 25088, -3275.0, 37294.0, 1184256, 42029.0, 42229.0, 6425,
20, 1.0, 9122.0, 8192, 1.0, 9142.0, 256512, 542.0, 9172.0, 1525, -66.0, -1.0, 512, -3275.0, 7990.0, 256512, 9183.0, 9198.0, 501,
