LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 158421, 0, 36.182947158994075, 51.443457288918204, 36.18271876302018,
1, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
2, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
3, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
4, 117391, 0, 46.10936954280992, 51.072095788043484, 46.108976761619104,
5, 47849, 0, 59.907208092123135, 66.35416666666667, 59.90595611285262,
6, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
7, 10205, 0, 33.47929936305732, 65.9059124228395, 33.47601900842637,
8, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
9, 80123, 0, 61.6957677570735, 65.01538825757575, 61.69499775348203,
10, 42489, 0, 66.94556238085151, 70.546875, 66.94398682042836,
11, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
12, 7599, 0, 47.74476904855902, 70.86181640625, 47.73848684210524,
13, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
14, 59149, 0, 70.66222590407277, 72.5625, 70.6610312764159,
15, 42587, 0, 66.53262732758823, 68.32139756944444, 66.53106508875739,
16, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
17, 5723, 0, 71.85042809715185, 89.23611111111111, 71.83787561146052,
18, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
19, 42029, 0, 68.79178662352186, 69.71571180555556, 68.79014989293363,
20, 9183, 0, 2.7278667102254164, 3.057861328125, 2.7275696864111496,
