,latency_2,latency_3,latency_4,latency_8
conv1,5.933039566600944,6.950036265461825,12.596619240704884,12.989501100294678
layer1.0.conv1,1.610959725549744,2.292497190791475,6.440892438296351,6.632255606247043
layer1.0.conv2,6.587872198052538,11.154968402224888,32.48027449942343,33.41517568048003
layer1.0.conv3,10.451087521030455,11.852628306398694,18.414395425916084,30.463143693779763
layer1.0.downsample.0,10.451087521030455,11.852628306398694,18.414395425916084,30.463143693779763
layer1.1.conv1,3.749273980091109,5.709260127203976,16.149227926854007,16.64542900839415
layer1.1.conv2,6.587872198052538,11.154968402224888,32.48027449942343,33.41517568048003
layer1.1.conv3,10.451087521030455,11.852628306398694,18.414395425916084,30.463143693779763
layer1.2.conv1,3.749273980091109,5.709260127203976,16.149227926854007,16.64542900839415
layer1.2.conv2,6.587872198052538,11.154968402224888,32.48027449942343,33.41517568048003
layer1.2.conv3,10.451087521030455,11.852628306398694,18.414395425916084,30.463143693779763
layer2.0.conv1,4.037306981713502,4.6439928647157815,6.559455360693773,9.157772762088387
layer2.0.conv2,0.267075,0.3765789239025732,14.762568623865725,25.020398420499312
layer2.0.conv3,22.34778442140224,32.12245854834259,46.74139691443485,89.61611911229348
layer2.0.downsample.0,11.568170281208678,15.891471517899934,21.567319854637137,39.13660438804408
layer2.1.conv1,0.2510351515151515,0.6366759375277836,7.780502654978329,12.333470035364554
layer2.1.conv2,0.267075,0.3765789239025732,14.762568623865725,25.020398420499312
layer2.1.conv3,5.58694610535056,8.030614637085648,11.685349228608713,22.40402977807337
layer2.2.conv1,0.2510351515151515,0.6366759375277836,7.780502654978329,12.333470035364554
layer2.2.conv2,0.267075,0.3765789239025732,14.762568623865725,25.020398420499312
layer2.2.conv3,5.58694610535056,8.030614637085648,11.685349228608713,22.40402977807337
layer2.3.conv1,0.2510351515151515,0.6366759375277836,7.780502654978329,12.333470035364554
layer2.3.conv2,0.267075,0.3765789239025732,14.762568623865725,25.020398420499312
layer2.3.conv3,5.58694610535056,8.030614637085648,11.685349228608713,22.40402977807337
layer3.0.conv1,1.9451256637445822,2.160033843006449,4.200208374667628,7.680253736319028
layer3.0.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.0.conv3,11.283353260718608,18.391876142731466,33.43860062716869,76.31461272623108
layer3.0.downsample.0,8.795723151464626,12.495577060475316,17.98915566101392,35.26279835953799
layer3.1.conv1,0.12571569230769228,0.18824930232558143,0.25115782945736437,6.784288495229749
layer3.1.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.1.conv3,2.820838315179652,4.597969035682866,8.359650156792172,19.07865318155777
layer3.2.conv1,0.12571569230769228,0.18824930232558143,0.25115782945736437,6.784288495229749
layer3.2.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.2.conv3,2.820838315179652,4.597969035682866,8.359650156792172,19.07865318155777
layer3.3.conv1,0.12571569230769228,0.18824930232558143,0.25115782945736437,6.784288495229749
layer3.3.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.3.conv3,2.820838315179652,4.597969035682866,8.359650156792172,19.07865318155777
layer3.4.conv1,0.12571569230769228,0.18824930232558143,0.25115782945736437,6.784288495229749
layer3.4.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.4.conv3,2.820838315179652,4.597969035682866,8.359650156792172,19.07865318155777
layer3.5.conv1,0.12571569230769228,0.18824930232558143,0.25115782945736437,6.784288495229749
layer3.5.conv2,0.177445,0.18816,0.295745,4.18826463423228
layer3.5.conv3,2.820838315179652,4.597969035682866,8.359650156792172,19.07865318155777
layer4.0.conv1,0.190045,0.228055,2.2954551879848415,6.521985276391421
layer4.0.conv2,0.116745,0.140095,0.210145,0.373595
layer4.0.conv3,1.004118830409357,1.7083027189682969,18.325981279847184,63.271334685753565
layer4.0.downsample.0,7.116621933405582,11.438504668742857,16.849343075981306,35.7282807707273
layer4.1.conv1,0.105495,0.126595,0.189895,0.337595
layer4.1.conv2,0.116745,0.140095,0.210145,0.373595
layer4.1.conv3,0.2510297076023392,0.4270756797420742,4.581495319961796,15.817833671438391
layer4.2.conv1,0.105495,0.126595,0.189895,0.337595
layer4.2.conv2,0.116745,0.140095,0.210145,0.373595
layer4.2.conv3,0.097575,0.126275,0.189415,0.367355
