LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
30, 1.0, 10525.0, 150528, 1.0, 10553.0, 172032, 63.0, 10583.0, 80640, -1310.0, -1.0, 12544, -2489.0, -1.0, 24576, 4626.0, 10887.0, 75295,
31, 1.0, 211033.0, 5971968, 1.0, 211049.0, 6635520, 3455.0, 211079.0, 59136, -3275.0, 206950.0, 1363652, -3275.0, 210408.0, 6635520, 126616.0, 211783.0, 55327,
32, 1.0, 9307.0, 225792, 1.0, 9335.0, 258048, 383.0, 9365.0, 20160, -3275.0, 7883.0, 225792, -3275.0, 6515.0, 45038, 9365.0, 9952.0, 18816,
33, 1.0, 19849.0, 338688, 1.0, 19877.0, 387072, 95.0, 19907.0, 120960, -1900.0, -1.0, 18816, -3275.0, 11139.0, 57326, 5810.0, 20363.0, 112927,
34, 1.0, 472093.0, 13436928, 1.0, 472109.0, 14929920, 5183.0, 472139.0, 88704, -3275.0, 465461.0, 3830899, -3275.0, 471198.0, 14929920, 188824.0, 472683.0, 82975,
35, 1.0, 13339.0, 338688, 1.0, 13367.0, 387072, 575.0, 13397.0, 20160, -3275.0, 12436.0, 338688, -3275.0, 9395.0, 83932, 13397.0, 13984.0, 18816,
36, 1.0, 19849.0, 338688, 1.0, 19877.0, 387072, 95.0, 19907.0, 120960, -1900.0, -1.0, 18816, -3275.0, 11139.0, 57326, 5810.0, 20363.0, 112927,
37, 1.0, 472093.0, 13436928, 1.0, 472109.0, 14929920, 5183.0, 472139.0, 88704, -3275.0, 465461.0, 3830899, -3275.0, 471198.0, 14929920, 188824.0, 472683.0, 82975,
38, 1.0, 13339.0, 338688, 1.0, 13367.0, 387072, 575.0, 13397.0, 20160, -3275.0, 12436.0, 338688, -3275.0, 9395.0, 83932, 13397.0, 13984.0, 18816,
39, 1.0, 19849.0, 338688, 1.0, 19877.0, 387072, 95.0, 19907.0, 120960, -1900.0, -1.0, 18816, -3275.0, 11139.0, 57326, 5810.0, 20363.0, 112927,
