LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 11285, 0, 68.46865307930882, 97.33796296296296, 68.46258639021792,
1, 10207, 0, 79.35730381111003, 87.890625, 79.34952978056424,
2, 10207, 0, 79.35730381111003, 87.890625, 79.34952978056424,
3, 10207, 0, 79.35730381111003, 87.890625, 79.34952978056424,
4, 10207, 0, 79.35730381111003, 87.890625, 79.34952978056424,
5, 5103, 0, 90.29982363315696, 100.0, 90.28213166144202,
6, 9711, 0, 94.90268767377201, 100.0, 94.89291598023063,
7, 1007, 0, 50.84409136047666, 100.0, 50.79365079365079,
8, 9711, 0, 94.90268767377201, 100.0, 94.89291598023063,
9, 9711, 0, 94.90268767377201, 100.0, 94.89291598023063,
10, 9711, 0, 74.14272474513439, 78.125, 74.13509060955519,
11, 18927, 0, 48.692344270090345, 50.0, 48.68977176669485,
12, 1519, 0, 52.666227781435154, 78.125, 52.63157894736842,
13, 18927, 0, 48.692344270090345, 50.0, 48.68977176669485,
14, 18927, 0, 48.692344270090345, 50.0, 48.68977176669485,
15, 37855, 0, 27.388720116232996, 28.125, 27.387996618765843,
16, 74719, 0, 12.334212181640547, 12.5, 12.334047109207711,
17, 5087, 0, 22.645960290937683, 28.125, 22.641509433962263,
18, 74719, 0, 12.334212181640547, 12.5, 12.334047109207711,
19, 74719, 0, 12.334212181640547, 12.5, 12.334047109207711,
20, 18367, 0, 2.722273642946589, 3.0517578125, 2.7221254355400695,
