LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 310515.0, 6986028, 1.0, 310533.0, 4805724, 146.0, 310563.0, 1140632, -3275.0, 304440.0, 170572, -328.0, -1.0, 3234, 9787.0, 311502.0, 1045559,
1, 1.0, 12317.0, 200704, 1.0, 12307.0, 137984, 63.0, 12337.0, 75264, -3275.0, 12051.0, 200704, -197.0, -1.0, 1408, 5886.0, 12455.0, 69023,
2, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
3, 1.0, 37013.0, 602112, 1.0, 37003.0, 539392, 63.0, 37033.0, 288512, -3275.0, 36233.0, 602112, -590.0, -1.0, 5504, 4095.0, 37279.0, 269727,
4, 1.0, 37013.0, 602112, 1.0, 37003.0, 539392, 63.0, 37033.0, 288512, -3275.0, 36233.0, 602112, -590.0, -1.0, 5504, 4095.0, 37279.0, 269727,
5, 1.0, 31133.0, 802816, 1.0, 31123.0, 551936, 255.0, 31153.0, 75264, -3275.0, 30469.0, 802816, -590.0, -1.0, 5632, 14910.0, 31271.0, 69023,
6, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
7, 1.0, 37013.0, 602112, 1.0, 37003.0, 539392, 63.0, 37033.0, 288512, -3275.0, 36233.0, 602112, -590.0, -1.0, 5504, 4095.0, 37279.0, 269727,
8, 1.0, 31133.0, 802816, 1.0, 31123.0, 551936, 255.0, 31153.0, 75264, -3275.0, 30469.0, 802816, -590.0, -1.0, 5632, 14910.0, 31271.0, 69023,
9, 1.0, 58637.0, 1679616, 1.0, 58655.0, 1165824, 575.0, 58685.0, 70040, -3275.0, 53543.0, 251650, -1310.0, -1.0, 12672, 29950.0, 59676.0, 64183,
10, 1.0, 37013.0, 602112, 1.0, 37003.0, 539392, 63.0, 37033.0, 288512, -3275.0, 36233.0, 602112, -590.0, -1.0, 5504, 4095.0, 37279.0, 269727,
11, 1.0, 62297.0, 1605632, 1.0, 62276.0, 1078784, 255.0, 62306.0, 147392, -3275.0, 62254.0, 1605632, -1114.0, -1.0, 11008, 10431.0, 62445.0, 134879,
12, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
13, 1.0, 28453.0, 602112, 1.0, 28448.0, 547200, 127.0, 28478.0, 143664, -3275.0, 27810.0, 602112, -2227.0, -1.0, 21888, 6238.0, 28593.0, 134095,
14, 1.0, 186953.0, 4816896, 1.0, 186932.0, 4290048, 255.0, 186962.0, 573888, -3275.0, 186855.0, 4816896, -3275.0, 93774.0, 51950, 10431.0, 187357.0, 536287,
15, 1.0, 28653.0, 802816, 1.0, 28648.0, 550400, 511.0, 28678.0, 36912, -3275.0, 27810.0, 802816, -2227.0, -1.0, 22016, 26946.0, 28729.0, 33743,
16, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
17, 1.0, 28453.0, 602112, 1.0, 28448.0, 547200, 127.0, 28478.0, 143664, -3275.0, 27810.0, 602112, -2227.0, -1.0, 21888, 6238.0, 28593.0, 134095,
18, 1.0, 28653.0, 802816, 1.0, 28648.0, 550400, 511.0, 28678.0, 36912, -3275.0, 27810.0, 802816, -2227.0, -1.0, 22016, 26946.0, 28729.0, 33743,
19, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
20, 1.0, 28453.0, 602112, 1.0, 28448.0, 547200, 127.0, 28478.0, 143664, -3275.0, 27810.0, 602112, -2227.0, -1.0, 21888, 6238.0, 28593.0, 134095,
21, 1.0, 28653.0, 802816, 1.0, 28648.0, 550400, 511.0, 28678.0, 36912, -3275.0, 27810.0, 802816, -2227.0, -1.0, 22016, 26946.0, 28729.0, 33743,
22, 1.0, 53357.0, 1557504, 1.0, 53364.0, 1089792, 1151.0, 53394.0, 31884, -3275.0, 49454.0, 245890, -3275.0, 27417.0, 831422, 53415.0, 54323.0, 29068,
23, 1.0, 28453.0, 602112, 1.0, 28448.0, 547200, 127.0, 28478.0, 143664, -3275.0, 27810.0, 602112, -2227.0, -1.0, 21888, 6238.0, 28593.0, 134095,
24, 1.0, 43003.0, 1204224, 1.0, 43009.0, 1100800, 511.0, 43039.0, 72224, -3275.0, 41836.0, 1204224, -3275.0, 14888.0, 60398, 18910.0, 43108.0, 67455,
25, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
26, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
27, 1.0, 157803.0, 4415488, 1.0, 157809.0, 4377600, 511.0, 157839.0, 285728, -3275.0, 156581.0, 4415488, -3275.0, 129688.0, 322398, 18910.0, 158036.0, 268159,
28, 1.0, 22747.0, 602112, 1.0, 22765.0, 616448, 1023.0, 22795.0, 18200, -3275.0, 21408.0, 602112, -3275.0, 15152.0, 481280, 22805.0, 23331.0, 16856,
29, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
30, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
31, 1.0, 22747.0, 602112, 1.0, 22765.0, 616448, 1023.0, 22795.0, 18200, -3275.0, 21408.0, 602112, -3275.0, 15152.0, 481280, 22805.0, 23331.0, 16856,
32, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
33, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
34, 1.0, 22747.0, 602112, 1.0, 22765.0, 616448, 1023.0, 22795.0, 18200, -3275.0, 21408.0, 602112, -3275.0, 15152.0, 481280, 22805.0, 23331.0, 16856,
35, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
36, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
37, 1.0, 22747.0, 602112, 1.0, 22765.0, 616448, 1023.0, 22795.0, 18200, -3275.0, 21408.0, 602112, -3275.0, 15152.0, 481280, 22805.0, 23331.0, 16856,
38, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
39, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
40, 1.0, 22747.0, 602112, 1.0, 22765.0, 616448, 1023.0, 22795.0, 18200, -3275.0, 21408.0, 602112, -3275.0, 15152.0, 481280, 22805.0, 23331.0, 16856,
41, 1.0, 35443.0, 995328, 1.0, 35449.0, 990720, 2303.0, 35479.0, 13344, -3275.0, 30035.0, 187707, -3275.0, 35065.0, 990720, 35489.0, 35875.0, 12384,
42, 1.0, 24427.0, 551936, 1.0, 24445.0, 612864, 255.0, 24475.0, 71960, -3275.0, 23095.0, 551936, -3275.0, 20316.0, 112074, 11730.0, 24532.0, 67063,
43, 1.0, 45553.0, 1204224, 1.0, 45560.0, 1225728, 1023.0, 45590.0, 36204, -3275.0, 43820.0, 1204224, -3275.0, 37944.0, 1158144, 43377.0, 45635.0, 33547,
44, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
45, 1.0, 25210.0, 551936, 1.0, 25204.0, 699392, 511.0, 25234.0, 36283, -2555.0, -1.0, 25088, -3275.0, 23498.0, 677016, 24090.0, 25277.0, 33498,
46, 1.0, 167185.0, 4415488, 1.0, 167192.0, 4895744, 1023.0, 167222.0, 143724, -3275.0, 165397.0, 4415488, -3275.0, 159513.0, 4828160, 40146.0, 167331.0, 133899,
47, 1.0, 25274.0, 602112, 1.0, 25268.0, 700416, 2047.0, 25298.0, 9147, -3275.0, 24525.0, 602112, -3275.0, 21043.0, 677888, 25319.0, 25580.0, 8379,
48, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
49, 1.0, 25210.0, 551936, 1.0, 25204.0, 699392, 511.0, 25234.0, 36283, -2555.0, -1.0, 25088, -3275.0, 23498.0, 677016, 24090.0, 25277.0, 33498,
50, 1.0, 25274.0, 602112, 1.0, 25268.0, 700416, 2047.0, 25298.0, 9147, -3275.0, 24525.0, 602112, -3275.0, 21043.0, 677888, 25319.0, 25580.0, 8379,
51, 1.0, 27982.0, 691200, 1.0, 27968.0, 787968, 4614.0, 27998.0, 4659, -2555.0, -1.0, 25088, -3275.0, 27785.0, 787968, 28019.0, 28152.0, 4275,
52, 1.0, 25210.0, 551936, 1.0, 25204.0, 699392, 511.0, 25234.0, 36283, -2555.0, -1.0, 25088, -3275.0, 23498.0, 677016, 24090.0, 25277.0, 33498,
53, 1.0, 23148.0, 22528, 1.0, 23161.0, 684032, 2078.0, 23191.0, 1038, -262.0, -1.0, 2048, -3275.0, 21043.0, 684032, 23209.0, 23219.0, 334,
